series,time_idx,value
0,0,1688.0
0,1,1713.0
0,2,1695.0
0,3,1717.0
0,4,1698.0
0,5,1719.0
0,6,1697.0
0,7,1719.0
0,8,1699.0
0,9,1722.0
0,10,1700.0
0,11,1723.0
0,12,1622.5
0,13,1622.5
0,14,1622.5
0,15,1622.5
0,16,1622.5
0,17,1621.5
0,18,1714.0
0,19,1698.0
0,20,1721.0
0,21,1700.0
0,22,1722.0
0,23,1702.0
0,24,1721.0
0,25,1702.0
0,26,1724.0
0,27,1703.0
0,28,1726.0
0,29,1704.0
0,30,1622.5
0,31,1621.5
0,32,1622.5
0,33,1622.5
0,34,1622.5
0,35,1622.5
0,36,1622.5
0,37,1622.5
0,38,1622.5
0,39,1688.0
0,40,1713.0
0,41,1695.0
0,42,1717.0
0,43,1698.0
0,44,1719.0
0,45,1695.0
0,46,1721.0
0,47,1700.0
0,48,1723.0
0,49,1702.0
0,50,1724.0
0,51,1622.5
0,52,1621.5
0,53,1622.5
0,54,1622.5
0,55,1621.5
0,56,1621.5
0,57,1714.0
0,58,1698.0
0,59,1721.0
0,60,1700.0
0,61,1723.0
0,62,1702.0
0,63,1721.0
0,64,1702.0
0,65,1724.0
0,66,1703.0
0,67,1726.0
0,68,1704.0
0,69,1622.5
0,70,1621.5
0,71,1622.5
0,72,1622.5
0,73,1622.5
0,74,1622.5
0,75,1622.5
0,76,1622.5
0,77,1622.5
0,78,1688.0
0,79,1713.0
0,80,1695.0
0,81,1717.0
0,82,1698.0
0,83,1719.0
0,84,1695.0
0,85,1719.0
0,86,1699.0
0,87,1722.0
0,88,1700.0
0,89,1723.0
0,90,1622.5
0,91,1621.5
0,92,1622.5
0,93,1621.5
0,94,1621.5
0,95,1621.5
0,96,1714.0
0,97,1698.0
0,98,1721.0
0,99,1700.0
0,100,1723.0
0,101,1702.0
0,102,1721.0
0,103,1702.0
0,104,1723.0
0,105,1703.0
0,106,1726.0
0,107,1704.0
0,108,1622.5
0,109,1621.5
0,110,1622.5
0,111,1622.5
0,112,1622.5
0,113,1622.5
0,114,1622.5
0,115,1622.5
0,116,1622.5
0,117,1688.0
0,118,1713.0
0,119,1695.0
0,120,1717.0
0,121,1698.0
0,122,1719.0
0,123,1697.0
0,124,1719.0
0,125,1699.0
0,126,1722.0
0,127,1700.0
0,128,1724.0
0,129,1622.5
0,130,1621.5
0,131,1622.5
0,132,1622.5
0,133,1621.5
0,134,1621.5
0,135,1714.0
0,136,1698.0
0,137,1721.0
0,138,1700.0
0,139,1723.0
0,140,1702.0
0,141,1721.0
0,142,1702.0
0,143,1724.0
0,144,1703.0
0,145,1726.0
0,146,1704.0
0,147,1622.5
0,148,1621.5
0,149,1622.5
0,150,1622.5
0,151,1622.5
0,152,1622.5
0,153,1622.5
0,154,1622.5
0,155,1622.5
0,156,1688.0
0,157,1712.0
0,158,1694.0
0,159,1717.0
0,160,1697.0
0,161,1719.0
0,162,1695.0
0,163,1719.0
0,164,1699.0
0,165,1722.0
0,166,1700.0
0,167,1723.0
0,168,1622.5
0,169,1621.5
0,170,1622.5
0,171,1621.5
0,172,1621.5
0,173,1621.5
0,174,1714.0
0,175,1697.0
0,176,1721.0
0,177,1700.0
0,178,1722.0
0,179,1702.0
0,180,1721.0
0,181,1702.0
0,182,1724.0
0,183,1703.0
0,184,1724.0
0,185,1704.0
0,186,1622.5
0,187,1621.5
0,188,1622.5
0,189,1622.5
0,190,1622.5
0,191,1622.5
0,192,1622.5
0,193,1622.5
0,194,1622.5
0,195,1687.0
0,196,1712.0
0,197,1695.0
0,198,1717.0
0,199,1697.0
0,200,1719.0
0,201,1695.0
0,202,1719.0
0,203,1699.0
0,204,1722.0
0,205,1700.0
0,206,1723.0
0,207,1622.5
0,208,1621.5
0,209,1621.5
0,210,1621.5
0,211,1621.5
0,212,1621.5
0,213,1714.0
0,214,1697.0
0,215,1719.0
0,216,1700.0
0,217,1722.0
0,218,1702.0
0,219,1721.0
0,220,1700.0
0,221,1723.0
0,222,1703.0
0,223,1724.0
0,224,1704.0
0,225,1622.5
0,226,1621.5
0,227,1622.5
0,228,1621.5
0,229,1622.5
0,230,1622.5
0,231,1621.5
0,232,1622.5
0,233,1621.5
0,234,1692.0
0,235,1717.0
0,236,1698.0
0,237,1721.0
0,238,1700.0
0,239,1723.0
0,240,1698.0
0,241,1722.0
0,242,1702.0
0,243,1724.0
0,244,1703.0
0,245,1726.0
0,246,1622.5
0,247,1621.5
0,248,1622.5
0,249,1622.5
0,250,1622.5
0,251,1622.5
0,252,1716.0
0,253,1698.0
0,254,1722.0
0,255,1700.0
0,256,1723.0
0,257,1703.0
0,258,1722.0
0,259,1703.0
0,260,1724.0
0,261,1704.0
0,262,1726.0
0,263,1704.0
0,264,1622.5
0,265,1621.5
0,266,1622.5
0,267,1622.5
0,268,1622.5
0,269,1622.5
0,270,1622.5
0,271,1622.5
0,272,1622.5
0,273,1687.0
0,274,1712.0
0,275,1694.0
0,276,1717.0
0,277,1697.0
0,278,1719.0
0,279,1695.0
0,280,1719.0
0,281,1699.0
0,282,1722.0
0,283,1700.0
0,284,1723.0
0,285,1622.5
0,286,1621.5
0,287,1621.5
0,288,1621.5
0,289,1621.5
0,290,1621.5
0,291,1714.0
0,292,1697.0
0,293,1719.0
0,294,1699.0
0,295,1722.0
0,296,1702.0
0,297,1721.0
0,298,1700.0
0,299,1723.0
0,300,1703.0
0,301,1724.0
0,302,1704.0
0,303,1622.5
0,304,1621.5
0,305,1622.5
0,306,1621.5
0,307,1622.5
0,308,1622.5
0,309,1622.5
0,310,1622.5
0,311,1621.5
0,312,1688.0
0,313,1712.0
0,314,1694.0
0,315,1717.0
0,316,1697.0
0,317,1719.0
0,318,1695.0
0,319,1719.0
0,320,1699.0
0,321,1722.0
0,322,1700.0
0,323,1723.0
0,324,1622.5
0,325,1621.5
0,326,1621.5
0,327,1621.5
0,328,1621.5
0,329,1621.5
0,330,1714.0
0,331,1697.0
0,332,1719.0
0,333,1700.0
0,334,1722.0
0,335,1702.0
0,336,1721.0
0,337,1700.0
0,338,1724.0
0,339,1703.0
0,340,1726.0
0,341,1704.0
0,342,1622.5
0,343,1621.5
0,344,1622.5
0,345,1622.5
0,346,1622.5
0,347,1622.5
0,348,1621.5
0,349,1622.5
0,350,1621.5
0,351,1690.0
0,352,1714.0
0,353,1697.0
0,354,1719.0
0,355,1699.0
0,356,1722.0
0,357,1697.0
0,358,1722.0
0,359,1700.0
0,360,1723.0
0,361,1703.0
0,362,1724.0
0,363,1622.5
0,364,1621.5
0,365,1622.5
0,366,1622.5
0,367,1622.5
0,368,1622.5
0,369,1716.0
0,370,1698.0
0,371,1721.0
0,372,1700.0
0,373,1723.0
0,374,1703.0
0,375,1721.0
0,376,1702.0
0,377,1724.0
0,378,1704.0
0,379,1726.0
0,380,1704.0
0,381,1622.5
0,382,1621.5
0,383,1622.5
0,384,1622.5
0,385,1622.5
0,386,1622.5
0,387,1622.5
0,388,1622.5
0,389,1621.5
0,390,1688.0
0,391,1713.0
0,392,1695.0
0,393,1717.0
0,394,1698.0
0,395,1721.0
0,396,1697.0
0,397,1719.0
0,398,1700.0
0,399,1722.0
0,400,1702.0
0,401,1724.0
0,402,1622.5
0,403,1621.5
0,404,1621.5
0,405,1621.5
0,406,1621.5
0,407,1621.5
0,408,1714.0
0,409,1698.0
0,410,1721.0
0,411,1700.0
0,412,1723.0
0,413,1702.0
0,414,1721.0
